Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering
NCL,,,184,136,320,184,136,320,2,0.723684,0.809091,0.001232,0.076834,0.059865,0.766525
NGA,,,205,189,394,205,189,394,2,0.876494,0.929545,0.002802,0.083184,0.078865,0.723155
NLD,,,218,219,437,218,219,437,2,0.995475,0.997727,0.005537,0.085722,0.08553,0.684827
NOR,,,184,209,393,184,209,393,2,0.952381,0.975,0.002516,0.078016,0.084347,0.725701
NZL,,,213,213,426,213,213,426,2,0.969163,0.984091,0.004432,0.084593,0.084551,0.700326
PAK,,,215,208,423,215,208,423,2,0.948276,0.972727,0.004119,0.085363,0.083753,0.695106
PAN,,,157,177,334,157,177,334,2,0.836502,0.902273,0.001206,0.069169,0.075454,0.80475
PER,,,189,195,384,189,195,384,2,0.897959,0.943182,0.002159,0.079014,0.08118,0.74377
PHL,,,187,210,397,187,210,397,2,0.956522,0.977273,0.002825,0.078075,0.084493,0.717764
POL,,,219,211,430,219,211,430,2,0.960699,0.979545,0.004965,0.085944,0.084224,0.679494
PRT,,,207,208,415,207,208,415,2,0.948276,0.972727,0.003969,0.083637,0.083699,0.691351
PRY,,,159,165,324,159,165,324,2,0.8,0.875,0.000918,0.068789,0.072467,0.806861
PSE,,,146,97,243,146,97,243,2,0.641399,0.720455,0.000174,0.065407,0.04578,0.889165
QAT,,,169,166,335,169,166,335,2,0.80292,0.877273,0.00078,0.073949,0.073235,0.847235
ROU,,,178,195,373,178,195,373,2,0.897959,0.943182,0.001834,0.07614,0.081205,0.76842
RUS,,,213,199,412,213,199,412,2,0.912863,0.952273,0.003284,0.085027,0.082301,0.698385
RWA,,,168,145,313,168,145,313,2,0.745763,0.829545,0.001111,0.071865,0.063447,0.795732
SAU,,,192,192,384,192,192,384,2,0.887097,0.936364,0.002016,0.080285,0.080574,0.752183
SDN,,,205,161,366,205,161,366,2,0.78853,0.865909,0.001947,0.082486,0.07028,0.711442
SEN,,,175,182,357,175,182,357,2,0.852713,0.913636,0.001422,0.074883,0.077956,0.80326
SGP,,,216,215,431,216,215,431,2,0.977778,0.988636,0.00458,0.08566,0.08503,0.699785
SLV,,,161,166,327,161,166,327,2,0.80292,0.877273,0.00128,0.068715,0.071765,0.778794
STP,,,109,98,207,109,98,207,2,0.643275,0.722727,0.000136,0.049845,0.045698,0.916667
SUR,,,143,161,304,143,161,304,2,0.78853,0.865909,0.000644,0.063824,0.070657,0.845437
SVK,,,210,204,414,210,204,414,2,0.932203,0.963636,0.003673,0.083983,0.083012,0.692631
SVN,,,210,199,409,210,199,409,2,0.912863,0.952273,0.003741,0.084004,0.081788,0.684282
SWE,,,214,219,433,214,219,433,2,0.995475,0.997727,0.00563,0.084809,0.085433,0.679431
SYC,,,141,139,280,141,139,280,2,0.730897,0.815909,0.000317,0.063269,0.064076,0.864856
SYR,,,147,163,310,147,163,310,2,0.794224,0.870455,0.000487,0.0664,0.071897,0.861621
TGO,,,158,144,302,158,144,302,2,0.743243,0.827273,0.000617,0.069462,0.06389,0.84991
THA,,,218,218,436,218,218,436,2,0.990991,0.995455,0.005412,0.085825,0.085365,0.684031
TTO,,,174,171,345,174,171,345,2,0.817844,0.888636,0.001581,0.074323,0.072295,0.773124
TUR,,,210,206,416,210,206,416,2,0.940171,0.968182,0.003407,0.084612,0.083736,0.704412
TZA,,,192,191,383,192,191,383,2,0.883534,0.934091,0.002291,0.080222,0.079288,0.73578
UKR,,,200,198,398,200,198,398,2,0.909091,0.95,0.002543,0.081919,0.082344,0.734439
URY,,,170,189,359,170,189,359,2,0.876494,0.929545,0.001177,0.074459,0.080225,0.796551
USA,,,215,215,430,215,215,430,2,0.977778,0.988636,0.004707,0.08523,0.084924,0.700826
VCT,,,138,108,246,138,108,246,2,0.662651,0.745455,0.000376,0.061097,0.048531,0.851603
VEN,,,189,162,351,189,162,351,2,0.791367,0.868182,0.001267,0.078641,0.071761,0.754699
YEM,,,164,144,308,164,144,308,2,0.743243,0.827273,0.000744,0.071406,0.06391,0.837597
ZAF,,,216,217,433,216,217,433,2,0.986547,0.993182,0.00474,0.085673,0.085309,0.690378
ZMB,,,178,166,344,178,166,344,2,0.80292,0.877273,0.001586,0.075056,0.07126,0.778641
AFG,,,120,141,261,120,141,261,2,0.735786,0.820455,0.000141,0.056143,0.064662,0.926043
ALB,,,172,160,332,172,160,332,2,0.785714,0.863636,0.000845,0.073926,0.071385,0.798126
AND,,,148,154,302,148,154,302,2,0.769231,0.85,0.00061,0.065979,0.068232,0.83516
ARM,,,165,145,310,165,145,310,2,0.745763,0.829545,0.0006,0.07166,0.065742,0.839562
AUS,,,212,212,424,212,212,424,2,0.964912,0.981818,0.004335,0.084544,0.084307,0.70326
AZE,,,166,155,321,166,155,321,2,0.77193,0.852273,0.000949,0.071244,0.068647,0.800126
BDI,,,148,122,270,148,122,270,2,0.691824,0.777273,0.000379,0.064707,0.055973,0.839713
BIH,,,186,175,361,186,175,361,2,0.830189,0.897727,0.002022,0.078073,0.075462,0.756256
BLR,,,180,176,356,180,176,356,2,0.833333,0.9,0.001397,0.076108,0.076812,0.77613
BMU,,,154,108,262,154,108,262,2,0.662651,0.745455,0.000371,0.066341,0.050516,0.822309
BOL,,,174,154,328,174,154,328,2,0.769231,0.85,0.000858,0.074211,0.069158,0.786355
BRN,,,132,122,254,132,122,254,2,0.691824,0.777273,0.000263,0.059874,0.056068,0.890336
CAF,,,132,124,256,132,124,256,2,0.696203,0.781818,0.000192,0.060277,0.057208,0.907383
CIV,,,184,177,361,184,177,361,2,0.836502,0.902273,0.001422,0.078136,0.076245,0.779514
CMR,,,175,165,340,175,165,340,2,0.8,0.875,0.001092,0.075347,0.073016,0.805464
COG,,,164,159,323,164,159,323,2,0.782918,0.861364,0.0009,0.071373,0.069819,0.842896
DZA,,,178,158,336,178,158,336,2,0.780142,0.859091,0.000884,0.076405,0.07032,0.833313
EGY,,,182,187,369,182,187,369,2,0.869565,0.925,0.001516,0.077637,0.079643,0.797229
