"","Exporter","Importer","VoT","Quantity"
"116","AFG","SWE",17792.0833333333,1.2815
"117","AFG","NCL",7026974701,0.425571428571429
"118","AFG","ITA",1939803405.28378,5.1419478764473
"119","AFG","CHN",6762412152.15854,51.0623591662902
"120","AFG","DMA",24315532512.2,0.4712
"121","AFG","JOR",24460985159.7273,618.593181818182
"122","AFG","HRV",438454007,0.72280487804878
"123","AFG","SVN",17610949903.381,1.0622380952381
"124","AFG","MOZ",13015661940.9688,4.23274539680313
"125","AFG","RUS",12137502022.5102,1216.0766945724
"126","AFG","GHA",8928.5,2.51
"127","AFG","NGA",13927086130.9347,490.637753620559
"128","AFG","BRB",2263129174,0.222
"129","AFG","GRC",6369357642.6,145.408136552733
"130","AFG","PER",11555869168.8333,0.336055555555556
"131","AFG","HUN",6.91666666666667,0.579083333333333
"132","AFG","CIV",9695481103,3.6665
"133","AFG","MLI",18614558565,99
"134","AFG","DEU",7854483205.47651,12.2976040734077
"135","AFG","UZB",19458.5,0.0015
"136","AFG","ZAF",76132.3,20.0134240887533
"137","AFG","MYS",13269119759.2222,2.683
"138","AFG","NOR",3094557740.96552,2.75129310344828
"139","AFG","IRL",5499334477.60345,9.20377586206897
"140","AFG","NER",9043309744.66667,8.3505
"141","AFG","UKR",8505038002.2,43.9454280757143
"142","AFG","IRQ",356847.733333333,92.6665333333333
"143","AFG","VUT",1159,0.027
"144","ALB","TTO",24401,0.104666666666667
"145","ALB","KNA",12018117370.8378,27.889
"146","ALB","MLT",7726518477.33333,3.06555555555556
"147","ALB","CAF",2397,0.01
"148","ALB","COM",8410623857.75,0.98175
"149","ALB","DNK",10820619791.9318,5.93704527959091
"150","ALB","SLV",9304230114.875,0.758625
"151","ALB","TCA",5028,6
"152","ALB","CMR",16293.5,1.145
"153","ALB","HRV",5450761175.46667,20.9501269175207
"154","ALB","NZL",3456091123.75,0.133854166666667
"155","ALB","JPN",2436926979.24324,1.94541816387946
"156","ALB","VEN",3993068084.68452,3.99370833333333
"157","ALB","VNM",9129438895.42857,18.4974285714286
"158","ALB","NIC",1731780611.5,3.08033333333333
"159","ALB","HKG",9685941895.43478,534.764310933183
"160","ALB","TON",147,0.14
"161","ALB","CRI",8757054818.95238,4.613
"162","ALB","CPV",3114032359,6.75475
"163","ALB","SVK",2495217502.39726,646.258576426354
"164","ALB","JOR",2067945263.88889,43.2114444444444
"165","ALB","GEO",240789.375,194.4583125
"166","ALB","SUR",5481,0.63
"167","ALB","MKD",14992852339.0933,1948.94001763986
"168","ALB","CIV",8846393940.38461,0.495153846153846
"169","ALB","ITA",18771080642.839,441.236577198877
"170","ALB","LVA",3816568310.5,15.533979524775
"171","ALB","SRB",3779128010.6377,224.635325303291
"172","ALB","AGO",3459,0.52
"173","ALB","USA",8598028292.97906,332.288629660175
"174","ALB","LBR",8258,5.4145
"175","ALB","GBR",7421385742.29452,89.7876166223904
"176","ALB","GIN",6542443189.17647,20.4813529411765
"177","ALB","NOR",1270272895.03409,1.74570729505966
"178","ALB","MEX",5149589009.4734,1.12986202767606
"179","ALB","EST",893293628.130435,0.290497410515217
"180","ALB","MAR",1411500432.60606,3.44763636363636
"181","ALB","FIN",2963802305.29,67.135897729978
"182","ALB","URY",12929496055.1111,55.7428888888889
"183","ALB","LTU",4497710238.78571,4.63135714285714
"184","ALB","SVN",7877133701.44656,50.7093763267458
"185","ALB","SAU",486147336.593407,3.66071428571429
"186","ALB","KWT",624598006.041667,0.358947916666667
"187","ALB","POL",3768494207.73826,7.51410798869933
"188","ALB","COL",3872791668.64706,3.65243697478992
"189","ALB","AUT",5632370585.68727,25.0111520433255
"190","ALB","RWA",6131369916.86667,6.64913333333333
"191","ALB","MAC",4225.25,0.0635
"192","ALB","PRK",2202,1.654
"193","ALB","TGO",23081,4.71
"194","ALB","VCT",4562,0.259
"195","ALB","NGA",11183112279.8946,1403.43398143782
"196","ALB","OMN",4007.5,10.435
"197","ALB","ROU",12578954326.7812,38.5648157496172
"198","ALB","AND",18898.5,2.0295
"199","ALB","SMR",145219,2.58266666666667
"200","ALB","SYC",13157908034.8,0.2545
"201","ALB","MLI",897881260.666667,7.21916666666667
"202","ALB","NCL",9499955375.21053,0.210052631578947
